Product code,BoM station,Year,Month,Day,Maximum (C),Minimum (C)
IDCJAC0010,86282,1971,6,24,9.3,3.7
IDCJAC0010,86282,1971,6,25,11.1,2.3
IDCJAC0010,86282,1971,6,26,12.7,4.6
IDCJAC0010,86282,1971,6,27,13.7,7.2
IDCJAC0010,86282,1971,6,28,14.2,8.4
IDCJAC0010,86282,1971,6,29,10.6,6.9
IDCJAC0010,86282,1971,6,30,10.9,3.6
IDCJAC0010,86282,1971,7,1,12.3,-1.2
IDCJAC0010,86282,1971,7,2,12.1,1.5
IDCJAC0010,86282,1971,7,3,12.8,5.7
IDCJAC0010,86282,1971,7,4,14.3,5.7
IDCJAC0010,86282,1971,7,5,13.9,2
IDCJAC0010,86282,1971,7,6,13.5,3.4
IDCJAC0010,86282,1971,7,7,15.6,2.3
IDCJAC0010,86282,1971,7,8,12.4,5.2
IDCJAC0010,86282,1971,7,9,14.9,6.8
IDCJAC0010,86282,1971,7,10,12.2,6.3
IDCJAC0010,86282,1971,7,11,13.7,2.2
IDCJAC0010,86282,1971,7,12,13.2,2.7
IDCJAC0010,86282,1971,7,13,14.1,0.3
IDCJAC0010,86282,1971,7,14,12.8,2.3
IDCJAC0010,86282,1971,7,15,13.3,10
IDCJAC0010,86282,1971,7,16,12.7,6.3
IDCJAC0010,86282,1971,7,17,12.2,7.8
IDCJAC0010,86282,1971,7,18,12.9,3.6
IDCJAC0010,86282,1971,7,19,13.9,4.1
IDCJAC0010,86282,1971,7,20,14.5,5.5
IDCJAC0010,86282,1971,7,21,14.4,6.1
IDCJAC0010,86282,1971,7,22,12.2,6.2
IDCJAC0010,86282,1971,7,23,11.2,3.9
IDCJAC0010,86282,1971,7,24,12.1,2.9
IDCJAC0010,86282,1971,7,25,12.7,5.6
IDCJAC0010,86282,1971,7,26,11.1,5.2
IDCJAC0010,86282,1971,7,27,12.1,7.3
IDCJAC0010,86282,1971,7,28,10.6,4.2
IDCJAC0010,86282,1971,7,29,11.3,6.6
IDCJAC0010,86282,1971,7,30,12.6,7.5
IDCJAC0010,86282,1971,7,31,14.6,8.5
IDCJAC0010,86282,1971,8,1,14.2,5.1
IDCJAC0010,86282,1971,8,2,16.5,7.1
IDCJAC0010,86282,1971,8,3,14,7.3
IDCJAC0010,86282,1971,8,4,14.9,2.6
IDCJAC0010,86282,1971,8,5,16.2,5.7
IDCJAC0010,86282,1971,8,6,17.2,6.8
IDCJAC0010,86282,1971,8,7,14.5,7.1
IDCJAC0010,86282,1971,8,8,10.5,3.3
IDCJAC0010,86282,1971,8,9,14.3,5.2
IDCJAC0010,86282,1971,8,10,12.8,6.3
IDCJAC0010,86282,1971,8,11,12.6,3.3
IDCJAC0010,86282,1971,8,12,11.9,3
IDCJAC0010,86282,1971,8,13,12.1,1.2
IDCJAC0010,86282,1971,8,14,12.2,3.3
IDCJAC0010,86282,1971,8,15,11.6,4.5
IDCJAC0010,86282,1971,8,16,11.9,-0.5
IDCJAC0010,86282,1971,8,17,12.1,3.2
IDCJAC0010,86282,1971,8,18,14.4,5.4
IDCJAC0010,86282,1971,8,19,15.8,6.1
IDCJAC0010,86282,1971,8,20,17.2,8.9
IDCJAC0010,86282,1971,8,21,14.7,3.4
IDCJAC0010,86282,1971,8,22,16.1,4.3
IDCJAC0010,86282,1971,8,23,18.4,1.2
IDCJAC0010,86282,1971,8,24,14.1,6.7
IDCJAC0010,86282,1971,8,25,11.2,5.2
IDCJAC0010,86282,1971,8,26,10.6,3.7
IDCJAC0010,86282,1971,8,27,14.2,5.6
IDCJAC0010,86282,1971,8,28,12.6,4.3
IDCJAC0010,86282,1971,8,29,14.8,7
IDCJAC0010,86282,1971,8,30,12.4,5.1
IDCJAC0010,86282,1971,8,31,12.2,3.6
IDCJAC0010,86282,1971,9,1,11,3.6
IDCJAC0010,86282,1971,9,2,10,6.6
IDCJAC0010,86282,1971,9,3,13.4,1.8
IDCJAC0010,86282,1971,9,4,13.3,1.2
IDCJAC0010,86282,1971,9,5,16.7,3.9
IDCJAC0010,86282,1971,9,6,15.8,6.4
IDCJAC0010,86282,1971,9,7,15.9,8.1
IDCJAC0010,86282,1971,9,8,17.6,7.4
IDCJAC0010,86282,1971,9,9,18.9,8
IDCJAC0010,86282,1971,9,10,11.3,4.3
IDCJAC0010,86282,1971,9,11,13.8,3.1
IDCJAC0010,86282,1971,9,12,14.1,2.2
IDCJAC0010,86282,1971,9,13,18.3,0.4
IDCJAC0010,86282,1971,9,14,16.7,4
IDCJAC0010,86282,1971,9,15,13.8,10.3
IDCJAC0010,86282,1971,9,16,15.6,9.3
IDCJAC0010,86282,1971,9,17,17.5,5.1
IDCJAC0010,86282,1971,9,18,16.4,5.9
IDCJAC0010,86282,1971,9,19,21.9,9.5
IDCJAC0010,86282,1971,9,20,18.8,13
IDCJAC0010,86282,1971,9,21,16.8,7.8
IDCJAC0010,86282,1971,9,22,18.1,7.1
IDCJAC0010,86282,1971,9,23,20.6,9.5
IDCJAC0010,86282,1971,9,24,16.9,9.4
IDCJAC0010,86282,1971,9,25,17.4,3.2
IDCJAC0010,86282,1971,9,26,15.7,6.1
IDCJAC0010,86282,1971,9,27,15.4,7.6
IDCJAC0010,86282,1971,9,28,15.7,5.3
IDCJAC0010,86282,1971,9,29,20.7,11.4
IDCJAC0010,86282,1971,9,30,15.8,9.3
IDCJAC0010,86282,1971,10,1,20,11.5
IDCJAC0010,86282,1971,10,2,15.6,7.9
IDCJAC0010,86282,1971,10,3,14.7,7.8
IDCJAC0010,86282,1971,10,4,13.5,6.9
IDCJAC0010,86282,1971,10,5,18.9,3.8
IDCJAC0010,86282,1971,10,6,19.2,11.7
IDCJAC0010,86282,1971,10,7,16.4,8.6
IDCJAC0010,86282,1971,10,8,20,4.3
IDCJAC0010,86282,1971,10,9,15.3,8.5
IDCJAC0010,86282,1971,10,10,16.9,4.7
IDCJAC0010,86282,1971,10,11,16.4,9.9
IDCJAC0010,86282,1971,10,12,17.7,5.9
IDCJAC0010,86282,1971,10,13,24.5,7.9
IDCJAC0010,86282,1971,10,14,27.2,13.3
IDCJAC0010,86282,1971,10,15,16.7,10.1
IDCJAC0010,86282,1971,10,16,16.6,6.3
IDCJAC0010,86282,1971,10,17,16.1,3.4
IDCJAC0010,86282,1971,10,18,16.1,6.4
IDCJAC0010,86282,1971,10,19,13.2,6.8
IDCJAC0010,86282,1971,10,20,14.4,6.3
IDCJAC0010,86282,1971,10,21,14.8,8.3
IDCJAC0010,86282,1971,10,22,19.4,2.5
IDCJAC0010,86282,1971,10,23,16.9,12.9
IDCJAC0010,86282,1971,10,24,15.6,8.3
IDCJAC0010,86282,1971,10,25,22.9,5.7
IDCJAC0010,86282,1971,10,26,17.3,12.3
IDCJAC0010,86282,1971,10,27,17.3,4.8
IDCJAC0010,86282,1971,10,28,18.8,8.4
IDCJAC0010,86282,1971,10,29,20.8,4
IDCJAC0010,86282,1971,10,30,27.8,9.6
IDCJAC0010,86282,1971,10,31,19.2,7.9
IDCJAC0010,86282,1971,11,1,18.6,6.2
IDCJAC0010,86282,1971,11,2,25.1,5.6
IDCJAC0010,86282,1971,11,3,27.9,11.2
IDCJAC0010,86282,1971,11,4,19.9,14.9
IDCJAC0010,86282,1971,11,5,28.8,11.8
IDCJAC0010,86282,1971,11,6,19.2,13.1
IDCJAC0010,86282,1971,11,7,11.7,7.7
IDCJAC0010,86282,1971,11,8,15.7,8.4
IDCJAC0010,86282,1971,11,9,17.7,8.5
IDCJAC0010,86282,1971,11,10,15.4,11.5
IDCJAC0010,86282,1971,11,11,18.4,9.6
IDCJAC0010,86282,1971,11,12,23.5,10.6
IDCJAC0010,86282,1971,11,13,19.9,12.2
IDCJAC0010,86282,1971,11,14,19.4,12.1
IDCJAC0010,86282,1971,11,15,19.8,12.4
IDCJAC0010,86282,1971,11,16,18.3,7.5
IDCJAC0010,86282,1971,11,17,20.1,5.6
IDCJAC0010,86282,1971,11,18,18.1,9.7
IDCJAC0010,86282,1971,11,19,24.7,8.7
IDCJAC0010,86282,1971,11,20,18.2,7.7
IDCJAC0010,86282,1971,11,21,16.2,6.9
IDCJAC0010,86282,1971,11,22,17.1,6.1
IDCJAC0010,86282,1971,11,23,18.3,5.9
IDCJAC0010,86282,1971,11,24,15.6,5.1
IDCJAC0010,86282,1971,11,25,17.8,8.7
IDCJAC0010,86282,1971,11,26,22.3,4.6
IDCJAC0010,86282,1971,11,27,21.3,10.4
IDCJAC0010,86282,1971,11,28,16.6,11.7
IDCJAC0010,86282,1971,11,29,16.6,11.7
IDCJAC0010,86282,1971,11,30,18.5,10.8
IDCJAC0010,86282,1971,12,1,20.6,10
IDCJAC0010,86282,1971,12,2,20.3,12.9
IDCJAC0010,86282,1971,12,3,30.5,10
IDCJAC0010,86282,1971,12,4,20.1,12.3
IDCJAC0010,86282,1971,12,5,24,6.6
IDCJAC0010,86282,1971,12,6,18.9,11.8
IDCJAC0010,86282,1971,12,7,23.3,9.2
IDCJAC0010,86282,1971,12,8,30.1,11.8
IDCJAC0010,86282,1971,12,9,30.6,17.2
IDCJAC0010,86282,1971,12,10,21.1,12.3
IDCJAC0010,86282,1971,12,11,21.2,8.1
IDCJAC0010,86282,1971,12,12,26.2,8.2
IDCJAC0010,86282,1971,12,13,29.3,10.3
IDCJAC0010,86282,1971,12,14,17.7,11.4
IDCJAC0010,86282,1971,12,15,18.7,7.9
IDCJAC0010,86282,1971,12,16,20.5,7.2
IDCJAC0010,86282,1971,12,17,19.2,12.3
IDCJAC0010,86282,1971,12,18,17.6,9.6
IDCJAC0010,86282,1971,12,19,19.6,10.7
IDCJAC0010,86282,1971,12,20,27.6,9.1
IDCJAC0010,86282,1971,12,21,30.8,12.5
IDCJAC0010,86282,1971,12,22,34.2,16.3
IDCJAC0010,86282,1971,12,23,31.6,18.6
IDCJAC0010,86282,1971,12,24,31,13.1
IDCJAC0010,86282,1971,12,25,29.3,13.7
IDCJAC0010,86282,1971,12,26,30.8,21
IDCJAC0010,86282,1971,12,27,22.7,9.9
IDCJAC0010,86282,1971,12,28,22.2,8.9
IDCJAC0010,86282,1971,12,29,28.1,10.1
IDCJAC0010,86282,1971,12,30,21.6,14.7
IDCJAC0010,86282,1971,12,31,18.4,11.2
